Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-26 09:30:00-05:00,258.3550109863281,260.0899963378906,258.1000061035156,259.3399963378906,4008896,0.0,0.0
2024-12-26 09:45:00-05:00,259.3399963378906,259.3599853515625,258.0199890136719,258.7898864746094,1747595,0.0,0.0
2024-12-26 10:00:00-05:00,258.760009765625,258.8399963378906,257.95001220703125,258.23858642578125,1234525,0.0,0.0
2024-12-26 10:15:00-05:00,258.2550048828125,258.3699951171875,257.6300048828125,258.3612060546875,1045564,0.0,0.0
2024-12-26 10:30:00-05:00,258.364990234375,258.7851867675781,258.32000732421875,258.510009765625,842201,0.0,0.0
2024-12-26 10:45:00-05:00,258.5,258.62750244140625,258.1300048828125,258.3550109863281,616847,0.0,0.0
2024-12-26 11:00:00-05:00,258.3699951171875,258.9700012207031,258.30999755859375,258.95880126953125,718033,0.0,0.0
2024-12-26 11:15:00-05:00,258.92999267578125,259.19000244140625,258.75,258.8800048828125,709448,0.0,0.0
2024-12-26 11:30:00-05:00,258.8900146484375,259.2300109863281,258.85009765625,259.2200012207031,551369,0.0,0.0
2024-12-26 11:45:00-05:00,259.2099914550781,259.2099914550781,258.82000732421875,258.8900146484375,496599,0.0,0.0
2024-12-26 12:00:00-05:00,258.8904113769531,259.223388671875,258.875,259.2099914550781,380009,0.0,0.0
2024-12-26 12:15:00-05:00,259.2099914550781,259.3399963378906,258.9700012207031,258.9849853515625,561234,0.0,0.0
2024-12-26 12:30:00-05:00,258.9880065917969,259.32501220703125,258.9700012207031,259.1346130371094,407348,0.0,0.0
2024-12-26 12:45:00-05:00,259.1650085449219,259.1835021972656,258.57000732421875,258.8500061035156,576818,0.0,0.0
2024-12-26 13:00:00-05:00,258.843994140625,259.05999755859375,258.6499938964844,258.7099914550781,526380,0.0,0.0
2024-12-26 13:15:00-05:00,258.69000244140625,258.94000244140625,258.6600036621094,258.81890869140625,346479,0.0,0.0
2024-12-26 13:30:00-05:00,258.80999755859375,258.8399963378906,258.5799865722656,258.75,394612,0.0,0.0
2024-12-26 13:45:00-05:00,258.7449951171875,258.94891357421875,258.4599914550781,258.6499938964844,377935,0.0,0.0
2024-12-26 14:00:00-05:00,258.6199951171875,258.70001220703125,258.42999267578125,258.4800109863281,346296,0.0,0.0
2024-12-26 14:15:00-05:00,258.5,258.6698913574219,258.4100036621094,258.6000061035156,413239,0.0,0.0
2024-12-26 14:30:00-05:00,258.6099853515625,258.9100036621094,258.5899963378906,258.8059997558594,478984,0.0,0.0
2024-12-26 14:45:00-05:00,258.82000732421875,259.1000061035156,258.82000732421875,259.0849914550781,453635,0.0,0.0
2024-12-26 15:00:00-05:00,259.0849914550781,259.4700012207031,259.07000732421875,259.2900085449219,824540,0.0,0.0
2024-12-26 15:15:00-05:00,259.3106994628906,259.4100036621094,259.1099853515625,259.1099853515625,536653,0.0,0.0
2024-12-26 15:30:00-05:00,259.1199951171875,259.42999267578125,259.07000732421875,259.389892578125,616712,0.0,0.0
2024-12-26 15:45:00-05:00,259.3900146484375,259.510009765625,259.010009765625,259.1000061035156,2074602,0.0,0.0
2024-12-27 09:30:00-05:00,257.8999938964844,258.70001220703125,256.1099853515625,256.44000244140625,2890590,0.0,0.0
2024-12-27 09:45:00-05:00,256.45001220703125,257.0199890136719,256.2300109863281,256.61968994140625,1119138,0.0,0.0
2024-12-27 10:00:00-05:00,256.6600036621094,256.6600036621094,255.30999755859375,255.4499969482422,1701165,0.0,0.0
2024-12-27 10:15:00-05:00,255.44000244140625,255.5699005126953,254.91000366210938,254.99000549316406,1568229,0.0,0.0
2024-12-27 10:30:00-05:00,254.9600067138672,255.39999389648438,254.5,255.28799438476562,1556617,0.0,0.0
2024-12-27 10:45:00-05:00,255.2899932861328,255.33999633789062,254.91000366210938,254.9499969482422,1089642,0.0,0.0
2024-12-27 11:00:00-05:00,254.9499969482422,255.0399932861328,254.08999633789062,254.1199951171875,1561438,0.0,0.0
2024-12-27 11:15:00-05:00,254.1300048828125,254.75,254.0399932861328,254.72999572753906,1044758,0.0,0.0
2024-12-27 11:30:00-05:00,254.74000549316406,254.8000030517578,254.05999755859375,254.0800018310547,928242,0.0,0.0
2024-12-27 11:45:00-05:00,254.07000732421875,254.23989868164062,253.36000061035156,253.63499450683594,1372721,0.0,0.0
2024-12-27 12:00:00-05:00,253.6199951171875,253.72999572753906,253.05999755859375,253.5001983642578,1740489,0.0,0.0
2024-12-27 12:15:00-05:00,253.50619506835938,254.0,253.30999755859375,253.67999267578125,754042,0.0,0.0
2024-12-27 12:30:00-05:00,253.6699981689453,254.1300048828125,253.64779663085938,254.07000732421875,1374173,0.0,0.0
2024-12-27 12:45:00-05:00,254.06500244140625,254.5500030517578,253.8800048828125,254.5,693352,0.0,0.0
